consensus	phy_group	category	z_hat	se_z	p_hat	p_lcl95	p_ucl95	model
0	1	Single/Inverted	4.599544800503763	1.2188524002836427	0.9900437121595036	0.9011968383865542	0.9990784168145689	adjusted
0	0	Single/Direct	1.4077938099489113	0.5781476157878783	0.8034177363321408	0.568227854637595	0.9269640593952133	adjusted
1	0	Recurrent/Direct	1.2182833967834048	0.5094329128396599	0.7717613180710096	0.5547285719365397	0.9017455556147141	adjusted
1	1	Recurrent/Inverted	0.9731119748337672	0.4291782861205802	0.7257393456398185	0.5329328849180944	0.8598809360960482	adjusted
